MULTI_RES,SINGLE_RES,HOTEL,OFFICE,RETAIL,FOODSTORE,RESTAURANT,INDUSTRIAL,SCHOOL,HOSPITAL,GYM
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0,0,0.48,0
0.48,0.48,0.368,0,0.16,0.16,0,0,0,0.68,0.4
0.32,0.32,0.08,0,0.32,0.32,0.184,0,0,0.68,0.64
0.32,0.32,0.032,0,0.32,0.32,0.184,0,0,0.76,0.8
0.32,0.32,0.032,0,0.32,0.32,0.184,0,0,0.84,0.8
0.32,0.32,0.032,0,0.48,0.48,0.256,0,0,0.84,0.64
0.48,0.48,0.032,0,0.48,0.48,0.664,0,0,0.76,0
0.32,0.32,0.032,0,0.48,0.48,0.344,0,0,0.76,0.64
0.32,0.32,0.032,0,0.32,0.32,0.048,0,0,0.84,0.8
0.32,0.32,0.032,0,0.32,0.32,0,0,0,0.84,0.8
0.48,0.48,0.032,0,0.48,0.48,0,0,0,0.68,0.64
0.64,0.64,0.08,0,0.64,0.64,0,0,0,0.68,0.4
0.64,0.64,0.08,0,0.48,0.48,0.184,0,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0,0,0.48,0
0.48,0.48,0.368,0,0,0,0,0,0,0.68,0.4
0.32,0.32,0.08,0,0,0,0.184,0,0,0.68,0.64
0.32,0.32,0.032,0,0,0,0.184,0,0,0.76,0.8
0.32,0.32,0.032,0,0,0,0.184,0,0,0.84,0.8
0.32,0.32,0.032,0,0,0,0.256,0,0,0.84,0.64
0.48,0.48,0.032,0,0,0,0.664,0,0,0.76,0
0.32,0.32,0.032,0,0,0,0.344,0,0,0.76,0.64
0.32,0.32,0.032,0,0,0,0.048,0,0,0.84,0.8
0.32,0.32,0.032,0,0,0,0,0,0,0.84,0.8
0.48,0.48,0.032,0,0,0,0,0,0,0.68,0.64
0.64,0.64,0.08,0,0,0,0,0,0,0.68,0.4
0.64,0.64,0.08,0,0,0,0.184,0,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.4,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0.64,0,0.48,0
0.48,0.48,0.368,0.16,0.16,0.16,0,0.8,0.16,0.68,0.4
0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.8,0.32,0.68,0.64
0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.64,0.64,0.76,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.4,0.32,0.84,0.64
0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.64,0.16,0.76,0
0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.8,0.32,0.76,0.64
0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0,0.64,0.64,0.84,0.8
0.48,0.48,0.032,0.32,0.48,0.48,0,0.64,0.16,0.68,0.64
0.64,0.64,0.08,0.16,0.64,0.64,0,0.64,0,0.68,0.4
0.64,0.64,0.08,0,0.48,0.48,0.184,0.4,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0.4,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0.4,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0.4,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0.16,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.4,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0.64,0,0.48,0
0.48,0.48,0.368,0.16,0.16,0.16,0,0.8,0.16,0.68,0.4
0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.8,0.32,0.68,0.64
0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.64,0.64,0.76,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.4,0.32,0.84,0.64
0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.64,0.16,0.76,0
0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.8,0.32,0.76,0.64
0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0,0.64,0.64,0.84,0.8
0.48,0.48,0.032,0.32,0.48,0.48,0,0.64,0.16,0.68,0.64
0.64,0.64,0.08,0.16,0.64,0.64,0,0.64,0,0.68,0.4
0.64,0.64,0.08,0,0.48,0.48,0.184,0.4,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0.4,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0.4,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0.4,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0.16,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.4,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0.64,0,0.48,0
0.48,0.48,0.368,0.16,0.16,0.16,0,0.8,0.16,0.68,0.4
0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.8,0.32,0.68,0.64
0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.64,0.64,0.76,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.4,0.32,0.84,0.64
0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.64,0.16,0.76,0
0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.8,0.32,0.76,0.64
0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0,0.64,0.64,0.84,0.8
0.48,0.48,0.032,0.32,0.48,0.48,0,0.64,0.16,0.68,0.64
0.64,0.64,0.08,0.16,0.64,0.64,0,0.64,0,0.68,0.4
0.64,0.64,0.08,0,0.48,0.48,0.184,0.4,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0.4,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0.4,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0.4,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0.16,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.4,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0.64,0,0.48,0
0.48,0.48,0.368,0.16,0.16,0.16,0,0.8,0.16,0.68,0.4
0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.8,0.32,0.68,0.64
0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.64,0.64,0.76,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.4,0.32,0.84,0.64
0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.64,0.16,0.76,0
0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.8,0.32,0.76,0.64
0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0,0.64,0.64,0.84,0.8
0.48,0.48,0.032,0.32,0.48,0.48,0,0.64,0.16,0.68,0.64
0.64,0.64,0.08,0.16,0.64,0.64,0,0.64,0,0.68,0.4
0.64,0.64,0.08,0,0.48,0.48,0.184,0.4,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0.4,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0.4,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0.4,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0.16,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.4,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0.64,0,0.48,0
0.48,0.48,0.368,0.16,0.16,0.16,0,0.8,0.16,0.68,0.4
0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.8,0.32,0.68,0.64
0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.64,0.64,0.76,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.4,0.32,0.84,0.64
0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.64,0.16,0.76,0
0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.8,0.32,0.76,0.64
0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0,0.64,0.64,0.84,0.8
0.48,0.48,0.032,0.32,0.48,0.48,0,0.64,0.16,0.68,0.64
0.64,0.64,0.08,0.16,0.64,0.64,0,0.64,0,0.68,0.4
0.64,0.64,0.08,0,0.48,0.48,0.184,0.4,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0.4,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0.4,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0.4,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0.16,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0,0,0.48,0
0.48,0.48,0.368,0,0.16,0.16,0,0,0,0.68,0.4
0.32,0.32,0.08,0,0.32,0.32,0.184,0,0,0.68,0.64
0.32,0.32,0.032,0,0.32,0.32,0.184,0,0,0.76,0.8
0.32,0.32,0.032,0,0.32,0.32,0.184,0,0,0.84,0.8
0.32,0.32,0.032,0,0.48,0.48,0.256,0,0,0.84,0.64
0.48,0.48,0.032,0,0.48,0.48,0.664,0,0,0.76,0
0.32,0.32,0.032,0,0.48,0.48,0.344,0,0,0.76,0.64
0.32,0.32,0.032,0,0.32,0.32,0.048,0,0,0.84,0.8
0.32,0.32,0.032,0,0.32,0.32,0,0,0,0.84,0.8
0.48,0.48,0.032,0,0.48,0.48,0,0,0,0.68,0.64
0.64,0.64,0.08,0,0.64,0.64,0,0,0,0.68,0.4
0.64,0.64,0.08,0,0.48,0.48,0.184,0,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0,0,0.48,0
0.48,0.48,0.368,0,0,0,0,0,0,0.68,0.4
0.32,0.32,0.08,0,0,0,0.184,0,0,0.68,0.64
0.32,0.32,0.032,0,0,0,0.184,0,0,0.76,0.8
0.32,0.32,0.032,0,0,0,0.184,0,0,0.84,0.8
0.32,0.32,0.032,0,0,0,0.256,0,0,0.84,0.64
0.48,0.48,0.032,0,0,0,0.664,0,0,0.76,0
0.32,0.32,0.032,0,0,0,0.344,0,0,0.76,0.64
0.32,0.32,0.032,0,0,0,0.048,0,0,0.84,0.8
0.32,0.32,0.032,0,0,0,0,0,0,0.84,0.8
0.48,0.48,0.032,0,0,0,0,0,0,0.68,0.64
0.64,0.64,0.08,0,0,0,0,0,0,0.68,0.4
0.64,0.64,0.08,0,0,0,0.184,0,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.4,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0.64,0,0.48,0
0.48,0.48,0.368,0.16,0.16,0.16,0,0.8,0.16,0.68,0.4
0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.8,0.32,0.68,0.64
0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.64,0.64,0.76,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.4,0.32,0.84,0.64
0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.64,0.16,0.76,0
0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.8,0.32,0.76,0.64
0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0,0.64,0.64,0.84,0.8
0.48,0.48,0.032,0.32,0.48,0.48,0,0.64,0.16,0.68,0.64
0.64,0.64,0.08,0.16,0.64,0.64,0,0.64,0,0.68,0.4
0.64,0.64,0.08,0,0.48,0.48,0.184,0.4,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0.4,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0.4,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0.4,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0.16,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.4,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0.64,0,0.48,0
0.48,0.48,0.368,0.16,0.16,0.16,0,0.8,0.16,0.68,0.4
0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.8,0.32,0.68,0.64
0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.64,0.64,0.76,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.4,0.32,0.84,0.64
0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.64,0.16,0.76,0
0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.8,0.32,0.76,0.64
0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0,0.64,0.64,0.84,0.8
0.48,0.48,0.032,0.32,0.48,0.48,0,0.64,0.16,0.68,0.64
0.64,0.64,0.08,0.16,0.64,0.64,0,0.64,0,0.68,0.4
0.64,0.64,0.08,0,0.48,0.48,0.184,0.4,0,0.48,0.64
0.64,0.64,0.08,0,0,0,0.232,0.4,0,0.44,0.64
0.64,0.64,0.32,0,0,0,0.392,0.4,0,0.44,0.64
0.8,0.8,0.464,0,0,0,0.592,0.4,0,0.44,0.4
0.8,0.8,0.608,0,0,0,0.16,0.16,0,0.44,0.4
0.8,0.8,0.728,0,0,0,0.136,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.72,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.16,0,0.44,0
0.8,0.8,0.728,0,0,0,0,0.4,0,0.44,0
0.64,0.64,0.608,0,0,0,0,0.64,0,0.48,0
0.48,0.48,0.368,0.16,0.16,0.16,0,0.8,0.16,0.68,0.4
0.32,0.32,0.08,0.32,0.32,0.32,0.184,0.8,0.32,0.68,0.64
0.32,0.32,0.032,0.48,0.32,0.32,0.184,0.64,0.64,0.76,0.8
0.32,0.32,0.032,0.64,0.32,0.32,0.184,0.8,0.64,0.84,0.8
0.32,0.32,0.032,0.64,0.48,0.48,0.256,0.4,0.32,0.84,0.64
0.48,0.48,0.032,0.32,0.48,0.48,0.664,0.64,0.16,0.76,0
0.32,0.32,0.032,0.48,0.48,0.48,0.344,0.8,0.32,0.76,0.64
0.32,0.32,0.032,0.64,0.32,0.32,0.048,0.8,0.64,0.84,0.8
